City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,georgievka,49.3314,81.5761,2.12,70,88,4.49,KZ,1730342505
130,coquimbo,-29.9533,-71.3436,14.85,92,100,1.54,CL,1730342506
131,dumai,1.6833,101.45,31.32,59,91,2.33,ID,1730342507
132,ruteng,-8.6136,120.4721,23.84,79,80,1.19,ID,1730342508
133,el charco,2.4769,-78.1105,24.01,93,100,1.69,CO,1730342509
134,yonggang-up,38.8561,125.4244,17.6,52,65,1.21,KP,1730342510
135,hadibu,12.65,54.0333,25.46,69,4,2.43,YE,1730342511
136,pembroke,45.8168,-77.1162,19.54,77,100,4.58,CA,1730342512
137,tiksi,71.6872,128.8694,-23.77,100,81,1.58,RU,1730342513
138,port isabel,26.0734,-97.2086,27.23,81,0,5.66,US,1730342515
139,bikenibeu village,1.3673,173.1241,30.98,66,20,1.03,KI,1730342516
140,zaozersk,69.4005,32.4476,-0.81,77,68,8.11,RU,1730342517
141,cabo san lucas,22.8909,-109.9124,27.17,73,20,2.57,MX,1730342276
142,saldanha,-33.0117,17.9442,14.03,76,8,4.98,ZA,1730342519
143,san patricio,28.017,-97.5169,26.97,81,1,5.65,US,1730342520
144,chinde,26.8212,87.7095,25.19,69,16,0.97,NP,1730342521
145,enewetak,11.3474,162.3373,28.78,76,28,6.24,MH,1730342522
146,tyukhtet,56.5389,89.3011,-0.35,92,100,3.42,RU,1730342523
147,smithers,54.7804,-127.1743,3.18,100,100,0.0,CA,1730342524
148,turpan,42.9333,89.1667,13.33,41,26,0.78,CN,1730342456
149,boende,-0.2167,20.8667,21.85,99,100,1.0,CD,1730342527
150,nemuro,43.3236,145.575,11.33,59,6,7.97,JP,1730342528
151,songjianghe,42.1859,127.479,13.6,45,69,2.93,CN,1730342529
152,constantia,44.1833,28.65,11.5,68,10,2.45,RO,1730342352
153,longyearbyen,78.2186,15.6401,-6.09,58,20,3.6,SJ,1730342531
154,manicore,-5.8092,-61.3003,30.26,42,99,1.53,BR,1730342532
155,bac lieu,9.285,105.7244,30.46,70,40,5.17,VN,1730342533
156,alice springs,-23.7,133.8833,34.75,8,36,3.6,AU,1730342534
157,papao,-17.75,-149.55,27.82,69,18,7.96,PF,1730342535
158,podhum,43.7231,17.0011,8.47,77,2,3.36,BA,1730342537
159,alotau,-10.3069,150.4462,27.92,67,100,2.47,PG,1730342538
160,la libertad,-2.2333,-80.9,20.63,84,95,3.7,EC,1730342539
161,kremenki,54.885,37.1261,4.44,76,86,4.89,RU,1730342540
162,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,33,20,6.0,RU,1730342541
163,lomza,53.1781,22.0593,9.2,92,100,3.58,PL,1730342542
164,stanley,54.868,-1.6985,11.01,92,75,3.6,GB,1730342543
165,nova vicosa,-17.8919,-39.3719,21.96,90,100,1.65,BR,1730342544
166,sandnessjoen,66.0217,12.6316,5.05,57,100,7.29,NO,1730342545
167,lerwick,60.1545,-1.1494,11.64,92,100,14.44,GB,1730342546
168,weno,7.4515,151.8468,30.97,79,100,2.06,FM,1730342548
169,nieuw amsterdam,5.8833,-55.0833,25.82,86,25,3.43,SR,1730342549
170,freetown,8.484,-13.2299,25.47,85,98,2.1,SL,1730342366
171,mena,51.5217,32.2157,11.45,77,100,8.11,UA,1730342551
172,saint-joseph,-21.3667,55.6167,22.21,73,61,4.57,RE,1730342552
173,iskateley,67.6803,53.1512,0.69,78,100,8.63,RU,1730342553
174,sena madureira,-9.0656,-68.6569,26.41,66,13,0.34,BR,1730342391
175,gargalianoi,37.0667,21.6333,16.03,74,0,2.78,GR,1730342556
176,sargodha,32.0836,72.6711,26.71,33,76,1.35,PK,1730342557
177,carbonear,47.7332,-53.2148,1.67,84,27,2.94,CA,1730342427
178,kourou,5.1552,-52.6478,24.63,93,18,2.1,GF,1730342560
179,lihue,21.9789,-159.3672,26.77,78,40,7.72,US,1730342561
180,pala,9.3642,14.9046,21.18,29,1,2.44,TD,1730342562
181,trairi,-3.2778,-39.2689,25.13,77,86,5.04,BR,1730342410
182,arkhangel'sk,64.5401,40.5433,0.06,100,75,0.0,RU,1730342564
183,hammerfest,70.6634,23.6821,0.25,93,100,8.23,NO,1730342565
184,sterling,39.0062,-77.4286,19.13,82,0,2.06,US,1730342560
185,dunedin,-45.8742,170.5036,12.11,85,99,2.68,NZ,1730342567
186,taft,31.7471,54.2088,8.97,37,0,2.06,IR,1730342568
187,nova olinda do norte,-3.8881,-59.0942,29.37,43,98,1.53,BR,1730342569
188,zemetchino,53.4973,42.6163,6.06,89,100,8.82,RU,1730342570
189,daru,-9.0763,143.2092,28.3,75,97,5.23,PG,1730342572
190,acarau,-2.8856,-40.12,25.25,79,51,6.19,BR,1730342573
191,kone,-21.0595,164.8658,27.77,44,60,3.4,NC,1730342574
192,gizo,-8.103,156.8419,28.26,74,60,2.5,SB,1730342575
193,geraldton,-28.7667,114.6,34.23,29,3,2.57,AU,1730342576
194,kot mumin,32.1895,73.028,26.52,35,61,2.41,PK,1730342577
195,mount isa,-20.7333,139.5,36.87,16,14,4.63,AU,1730342578
196,sultanpur,26.2667,82.0667,27.94,47,5,2.39,IN,1730342579
197,ankeny,41.7297,-93.6058,14.45,98,100,3.6,US,1730342415
198,shizunai-furukawacho,42.3339,142.3669,13.18,60,21,7.9,JP,1730342581
199,myeik,12.4333,98.6,28.41,75,91,1.88,MM,1730342582
200,sao vicente,-23.9631,-46.3919,22.19,26,29,4.47,BR,1730342427
201,kavaratti,10.5669,72.642,27.44,66,28,1.32,IN,1730342585
202,utrik,11.2278,169.8474,28.55,77,100,5.87,MH,1730342586
203,zaigrayevo,51.8336,108.2703,2.37,62,47,2.26,RU,1730342587
